date,Q,target
2025-07-17,721.2394270575097,881.78
2025-07-18,705.4240000000002,875.21
2025-07-19,717.0314270575097,872.68
2025-07-20,698.1440000000002,882.07
2025-07-21,705.6560000000003,884.33
2025-07-22,707.4640000000003,884.55
2025-07-23,712.2007790191701,895.65
2025-07-24,716.5200000000002,925.35
2025-07-25,757.1434270575098,970.56
2025-07-26,776.4480000000002,1051.04
2025-07-27,857.6954270575097,1060.31
2025-07-28,848.2480000000003,1041.16
2025-07-29,849.7914270575098,1068.35
2025-07-30,854.6800000000002,1172.03
2025-07-31,937.6240000000003,1331.14
2025-08-01,1064.9120000000005,1489.23
2025-08-02,1194.4878680797588,1585.8
2025-08-03,1268.6400000000003,1620.68
2025-08-04,1296.5440000000006,1613.85
2025-08-05,1291.0800000000004,1596.71
2025-08-06,1277.3680000000004,1612.13
2025-08-07,1299.185838234506,1624.61
2025-08-08,1299.6880000000003,1571.04
2025-08-09,1273.69542705751,1505.9
2025-08-10,1204.7200000000005,1468.54
2025-08-11,1191.69542705751,1405.83
2025-08-12,1124.6640000000002,1328.9
2025-08-13,1063.1200000000003,1255.92
2025-08-14,1021.59942705751,1180.47
2025-08-15,944.3760000000003,1106.01
2025-08-16,884.8080000000003,1045.25
2025-08-17,836.2000000000003,998.67
2025-08-18,798.9360000000003,956.4
2025-08-19,765.1200000000002,927.64
2025-08-20,742.1120000000002,903.15
2025-08-21,722.5200000000002,883.57
2025-08-22,723.7194270575097,862.26
2025-08-23,689.8080000000002,845.23
2025-08-24,693.0474270575097,832.93
2025-08-25,666.3440000000002,907.66
2025-08-26,742.9914270575098,1113.73
2025-08-27,890.9840000000003,1206.32
2025-08-28,981.9194270575098,1174.79
2025-08-29,939.8320000000003,1121.69
2025-08-30,914.2154270575098,1097.05
2025-08-31,877.6400000000002,1107.52
2025-09-01,902.8794270575098,1213.95
2025-09-02,971.1600000000003,1359.48
2025-09-03,1104.44742705751,1378.81
2025-09-04,1103.0480000000002,1329.27
2025-09-05,1080.27942705751,1270.87
2025-09-06,1016.6960000000003,1251.44
2025-09-07,1001.1520000000004,1244.45
2025-09-08,1012.4234270575099,1242.3
2025-09-09,993.8400000000003,1352.24
2025-09-10,1098.65542705751,1517.94
2025-09-11,1214.3520000000005,1531.51
2025-09-12,1242.07142705751,1511.53
2025-09-13,1209.2240000000004,1475.9
2025-09-14,1922.098797656794,1429.42
2025-09-15,1520.6699196097563,1396.74
2025-09-16,1117.3920000000003,1362.05
2025-09-17,1106.50342705751,1336.18
2025-09-18,1124.1218400764576,1308.62
2025-09-19,1046.8960000000002,1273.23
