Q,Qq,Qb,soil,wetness,Et,groundwater,percolation,target,date
7240.19760615893,1.1,0.38287123410837504,29.60987493711343,0.09038428801406469,-34.357682619647356,449.5098207244134,0.3830076825339237,22.1,2021-06-23
4647.84,0.96,0.0,-4.3648,0.08541228718973325,5.0,449.5098207244134,0.0,33.07,2021-06-24
73040.25454117754,15.08628618014614,0.0,29.609855440512003,0.02690369491286187,-34.357682619647356,449.50216018083063,0.38302717913535445,36.5,2021-06-25
6756.145064182096,1.0,0.3828907237640428,-4.3648,0.10826401012126453,5.0,449.50216018083063,0.0,40.99,2021-06-26
3485.8799999999997,0.72,0.0,29.609835942918117,0.0360443840854744,-34.357682619647356,449.494499247296,0.3830466767292391,38.59,2021-06-27
1914.74252716626,0.0,0.38291021441181083,-4.3648,0.2549886452212994,5.0,449.494499247296,0.0,27.14,2021-06-28
1.8832158055204216e-15,0.0,0.0,-4.3648,0.17791353572253088,5.0,449.494499247296,0.0,30.08,2021-06-29
1914.8399951116746,0.0,0.38292970605172977,-4.3648,0.07887646789344858,5.0,449.494499247296,0.0,29.06,2021-06-30
1404.0349999999999,0.29,0.0,-4.3648,0.08916921932004117,5.0,449.494499247296,0.0,31.61,2021-07-01
1914.9374680185924,0.0,0.3829491986838501,29.609816444331727,0.028406467764985052,-34.357682619647356,449.48683792378966,0.38306617531562814,33.55,2021-07-02
5567.725,1.1500000000000001,0.0,-4.3648,0.06062106178233146,5.0,449.48683792378966,0.0,42.06,2021-07-03
4335.784945887264,0.5,0.38296869230822206,-4.3648,0.24988923802162014,5.0,449.48683792378966,0.0,44.77,2021-07-04
435.73499999999996,0.09,0.0,-4.3648,0.1509199835635464,5.0,449.48683792378966,0.0,39.69,2021-07-05
3803.317428717945,0.39,0.38298818692489645,-4.3648,0.08637849250120415,5.0,449.48683792378966,0.0,35.43,2021-07-06
2.458450110154331e-15,0.0,0.0,29.609796944752784,0.02729017703745024,-34.357682619647356,449.4791762102918,0.38308567489457207,24.33,2021-07-07
1.6882328868206285e-15,0.0,0.0,-4.3648,0.060174513052091934,5.0,449.4791762102918,0.0,26.43,2021-07-08
6778.1,1.4000000000000001,0.0,29.609777444181237,0.01680858525780535,-34.357682619647356,449.47151410678254,0.38310517546612133,31.02,2021-07-09
1694.525,0.35000000000000003,0.0,-4.3648,0.055981843899357106,5.0,449.47151410678254,0.0,34.6,2021-07-10
968.3000000000001,0.2,0.0,-4.3648,0.03176737711611992,5.0,449.47151410678254,0.0,37.65,2021-07-11
2.6124935548210715e-15,0.0,0.0,29.60975794261703,0.005445730883416545,-34.357682619647356,449.4638516132419,0.38312467703032654,34.62,2021-07-12
1915.2299165108855,0.0,0.3830076825339237,-4.3648,0.05143666970707332,5.0,449.4638516132419,0.0,38.22,2021-07-13
2.6520452500733426e-15,0.0,0.0,29.60973844006012,0.013313447919797909,-34.357682619647356,449.4561887296502,0.38314417958723856,30.91,2021-07-14
1915.3274092663398,0.0,0.38302717913535445,-4.3648,0.05458372407744617,5.0,449.4561887296502,0.0,46.71,2021-07-15
484.15000000000003,0.1,0.0,-4.3648,0.09109722345722616,5.0,449.4561887296502,0.0,41.49,2021-07-16
1915.42490698456,0.0,0.3830466767292391,29.60971893651045,0.029177669419859043,-34.357682619647356,449.44852545598746,0.3831636831369073,45.33,2021-07-17
3.1454006066411463e-15,0.0,0.0,-4.3648,0.06092938023163937,5.0,449.44852545598746,0.0,42.59,2021-07-18
2.9552749136740888e-15,0.0,0.0,29.60969943196797,0.01711053212962433,-34.357682619647356,449.4408617922339,0.3831831876793839,42.83,2021-07-19
2.9719282590434656e-15,0.0,0.0,-4.3648,0.056102492868062626,5.0,449.4408617922339,0.0,37.22,2021-07-20
2227.09,0.46,0.0,29.609679926432637,0.015179777184193628,-34.357682619647356,449.4331977383696,0.38320269321471845,35.61,2021-07-21
1915.5224096657985,0.0,0.38306617531562814,-4.3648,0.055330158440755776,5.0,449.4331977383696,0.0,30.58,2021-07-22
2.12191375581483e-15,0.0,0.0,29.609660419904394,0.014870843413270893,-34.357682619647356,449.4255332943747,0.3832221997429619,42.51,2021-07-23
2.9497237985509625e-15,0.0,0.0,-4.3648,0.05520655248160032,5.0,449.4255332943747,0.0,37.96,2021-07-24
2.634004125923184e-15,0.0,0.0,29.609640912383192,0.014821401029608708,-34.357682619647356,449.41786846022944,0.38324170726416446,30.73,2021-07-25
2.1323220966706914e-15,0.0,0.0,-4.3648,0.13004811091303548,5.0,449.41786846022944,0.0,37.11,2021-07-26
1915.6199173103075,0.0,0.38308567489457207,-4.3648,0.14623676747057462,5.0,449.41786846022944,0.0,42.4,2021-07-27
2.942091015256665e-15,0.0,0.0,-4.3648,0.09115954987177885,5.0,449.41786846022944,0.0,40.17,2021-07-28
